what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.1.100.v20160418-1457,"org.eclipse.jdt.apt.pluggable.core",1489445480665
stopped,bundle,org.eclipse.jdt.apt.core,3.4.100.v20160525-0952,"org.eclipse.jdt.apt.core",1489445480667
stopped,bundle,org.eclipse.jdt.core.manipulation,1.7.0.v20160419-0705,"org.eclipse.jdt.core.manipulation",1489445480667
stopped,bundle,org.eclipse.pde.launching,3.6.401.v20161115-0549,"org.eclipse.pde.launching",1489445480667
stopped,bundle,org.eclipse.jdt.junit.core,3.8.0.v20160421-1701,"org.eclipse.jdt.junit.core",1489445480670
stopped,bundle,org.eclipse.jem.beaninfo,2.0.300.v201302011850,"org.eclipse.jem.beaninfo",1489445480673
stopped,bundle,org.eclipse.jem.workbench,2.0.400.v201302011850,"org.eclipse.jem.workbench",1489445480675
stopped,bundle,org.eclipse.jst.j2ee.core,1.3.200.v201505041449,"org.eclipse.jst.j2ee.core",1489445480675
stopped,bundle,org.eclipse.jem,2.0.600.v201302011850,"org.eclipse.jem",1489445480675
stopped,bundle,org.eclipse.jem.proxy,2.0.500.v201504161518,"org.eclipse.jem.proxy",1489445480677
stopped,bundle,org.eclipse.jst.common.frameworks,1.1.701.v201509021802,"org.eclipse.jst.common.frameworks",1489445480679
stopped,bundle,org.eclipse.jst.server.tomcat.core,1.1.801.v201609071751,"org.eclipse.jst.server.tomcat.core",1489445480683
stopped,bundle,org.eclipse.jst.server.core,1.2.500.v201603031514,"org.eclipse.jst.server.core",1489445480695
stopped,bundle,org.eclipse.jst.common.project.facet.core,1.4.500.v201508121553,"org.eclipse.jst.common.project.facet.core",1489445480695
stopped,bundle,org.eclipse.pde.api.tools,1.1.2.v20161115-0549,"org.eclipse.pde.api.tools",1489445480702
stopped,bundle,org.eclipse.pde.ds.core,1.1.0.v20151201-1325,"org.eclipse.pde.ds.core",1489445480707
stopped,bundle,org.eclipse.pde.ua.core,1.0.500.v20160204-0642,"org.eclipse.pde.ua.core",1489445480709
stopped,bundle,org.eclipse.pde.core,3.11.1.v20161115-1951,"org.eclipse.pde.core",1489445480743
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.300.v201304102131,"org.eclipse.wst.xsl.jaxp.launching",1489445480745
stopped,bundle,org.eclipse.jdt.launching,3.8.101.v20161111-2014,"org.eclipse.jdt.launching",1489445480908
stopped,bundle,org.eclipse.jdt.debug,3.10.1.v20160811-0441,"org.eclipse.jdt.debug",1489445480937
stopped,bundle,org.eclipse.jst.jsp.core,1.2.901.v201608060346,"org.eclipse.jst.jsp.core",1489445480939
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.100.v201308151836,"org.eclipse.jst.ws.jaxws.dom.ui",1489445480942
stopped,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.301.v201504272154,"org.eclipse.jst.ws.jaxws.utils",1489445480944
stopped,bundle,org.eclipse.jdt.core,3.12.2.v20161117-1814,"org.eclipse.jdt.core",1489445481426
stopped,bundle,org.eclipse.wst.jsdt.chromium.debug.js,0.1.0.v201608311919,"org.eclipse.wst.jsdt.chromium.debug.js",1489445481428
stopped,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.5.0.v201608251013,"org.eclipse.wst.jsdt.chromium.debug.core",1489445481432
stopped,bundle,org.eclipse.wst.jsdt.debug.crossfire,1.0.500.v201505071819,"org.eclipse.wst.jsdt.debug.crossfire",1489445481434
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino,1.0.500.v201605251607,"org.eclipse.wst.jsdt.debug.rhino",1489445481436
stopped,bundle,org.eclipse.wst.jsdt.debug.core,3.1.300.v201607272142,"org.eclipse.wst.jsdt.debug.core",1489445481437
stopped,bundle,org.eclipse.wst.jsdt.js.grunt,1.0.0.v201608172121,"org.eclipse.wst.jsdt.js.grunt",1489445481439
stopped,bundle,org.eclipse.wst.jsdt.js.gulp,1.0.0.v201607211454,"org.eclipse.wst.jsdt.js.gulp",1489445481796
